Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
J;Liu, JJ- Wu, LL- Chen, T;;;;Liu, Jia-Jia- Wu, Li-Li- Chen, Ting;;;Investigation on the Polymer Drawing Model of the Centrifugal Spinning;RECENT PATENTS ON NANOTECHNOLOGY;;;;;;;;;;;;Background and Objective: Some patents have reported the centrifugal spinning method which utilizes the centrifugal force produced by a high speed rotating device to fabricate fibers from polymer melts or solutions. Recently, with the development of technologies, centrifugal spinning was employed to produce ultrafine fibers and nanofibers. In order to improve the equipment and technology of centrifugal spinning and obtain finer fibers, it is important to model the polymer drawing of the centrifugal spinning. Methods: The polymer drawing in the centrifugal spinning is modeled and simulated. The force balance equation and heat transfer balance equation are established after analyzing the motion and heat transfer of the polymer melts. These nonlinear equations are solved based on the least square method to obtain the radius of excircle and the shape of streamline. A fourth order Runge-Kutta method is utilized to obtain the diameter and temperature of the threadline because there are initial value problems of first order ordinary differential equations. Streamlines and diameter of polymer melts at different viscoelasticities and different spinning temperatures are obtained. The simulation results are compared with the measured results to verify the polymer drawing model. Results: The viscoelastic force in the centrifugal spinning changes constantly at a fixed rotation speed of the rotating spinneret. As the spinneret is rotating, the radius of excircle R-1 increases slowly when the time passes, which means the viscoelastic force decreases slowly. The change of the viscoelastic force accelerates the increase of the radius vector. The simulation results show that the threadline diameter under the condition of changing viscoelastic forces is smaller than that under the condition of fixed visoelastic forces. The temperature of the polymer melts decreases faster under the condition of changing viscoelastic forces than that under the condition of fixed visoelastic forces. The threadline diameter decreases with the increase of the rotation speed. Higher initial polymer temperatures yield smaller fiber diameters. Conclusion: The polymer drawing in the centrifugal spinning is modeled and simulated. The simulation results tally with the measured results confirming the effectiveness of the polymer drawing model. The simulation results show that the change of the viscoelastic force is favorable to the polymer drawing and both larger rotation speeds and higher initial polymer temperatures can produce finer fibers, which lays a good foundation for the computer-assisted design of the centrifugal spinning.;;;;;;;;;;;;;;;;;1872-2105;2212-4020;;;;;2020;14;1;;;;;21;26;;10.2174/1872210513666190801110145;;;;;;;WOS:000529832000006;31368882;;;;;
J;Calisir, MD- Kilic, A;;;;Calisir, Mehmet Durmus- Kilic, Ali;;;A comparative study on SiO2 nanofiber production via two novel non-electrospinning methods: Centrifugal spinning vs solution blowing;MATERIALS LETTERS;;;;;;;;;;;;A comparative study on the production of nanofibrous silica (SiO2) mats via facile and innovative non-electro-spinning routes, solution blowing (SB) and centrifugal spinning (CS), and their subsequent calcination is presented. In all cases, highly flexible membranes composed of amorphous SiO2 were obtained after calcination. This includes the first reported synthesis of SiO2 fibers by the SB technique. The structure, composition, and porosity of the as-spun and calcined fibers were characterized. The results indicated that CS afforded a more homogeneous and defect-free fibrous structure, although the average fiber diameter was found to be higher than those obtained from SB. Thus, SB provides more compact SiO2 fibrous mat which resulted in smaller pore size. The lower fiber diameter and pore size of the SB-SiO2 mats renders them more suited to filtration and separation applications, whilst the fluffier CS-SiO2 outputs would be advantageously adopted for thermal insulation applications. (C) 2019 Elsevier B.V. All rights reserved.;;;;Calisir, Mehmet D/J-5391-2016- KILIC, ALI/N-1714-2014;Calisir, Mehmet D/0000-0002-5916-9666- KILIC, ALI/0000-0001-5915-8732;;;;;;;;;;;;0167-577X;1873-4979;;;;JAN 1;2020;258;;;;;;;;126751;10.1016/j.matlet.2019.126751;;;;;;;WOS:000500934600002;;;;;;
J;Wu, YZ- Li, C- Fan, F- Liang, JH- Yang, ZH- Wei, XQ- Chen, SX;;;;Wu, Yingzhu- Li, Chen- Fan, Fei- Liang, Jiahao- Yang, Zihang- Wei, Xiaoqun- Chen, Shuixia;;;PVAm Nanofibers Fabricated by Rotary Jet Wet Spinning and Applied to Bisphenol A Recognition;ACS OMEGA;;;;;;;;;;;;Poly(vinylamine) (PVAm) is an important polymer with the highest content of primary amine groups of any polymer. PVAm has a great potential in selective separation and smart materials. It is difficult to fabricate pure PVAm nanofibers by electrospinning and rotary jet spinning (RJS) without additional polymers. In this work, rotary jet wet spinning (RJWS) was applied to fabricate molecular imprinting nanofibers (MINFs) with polyelectrolyte for the first time. Initially, optimal parameters of spinning are investigated, including coagulation bath, solution viscosity, and rotation speed. The PVAm aqueous solution is sensitive to alcohol. To demonstrate RJWS application, PVAm-based MINFs for bisphenol A (one endocrine disruptor) recognition are prepared by adding dummy template, cross-linking, and template elution. The association constant (8.6 mg/L), equilibrium time (30 min), and binding sites utilization rate (80%) of MINFs are evaluated. Its adsorption amount and selectivity are little lower than those of MIPs prepared by bulk polymerization- however, its adsorption speed is faster than that of MIPs.;;;;;wu, yingzhu/0000-0001-6861-5966;;;;;;;;;;;;2470-1343;;;;;DEC 17;2019;4;25;;;;;21361;21369;;10.1021/acsomega.9b02964;;;;;;;WOS:000503370500056;31867531;;;;;
J;Leng, GQ- Zhang, XG- Shi, TT- Chen, G- Wu, XW- Liu, YG- Fang, MH- Min, X- Huang, ZH;;;;Leng, Guoqin- Zhang, Xiaoguang- Shi, Tengteng- Chen, Guo- Wu, Xiaowen- Liu, Yangai- Fang, Minghao- Min, Xin- Huang, Zhaohui;;;Preparation and properties of polystyrene/silica fibres flexible thermal insulation materials by centrifugal spinning;POLYMER;;;;;;;;;;;;Centrifugal spinning has recently attracted attention as a safer and more efficient method for preparing polymer micro- and nano-fibres. Our research demonstrates the successful preparation of polystyrene (PS) flexible thermal insulation materials by innovatively spinning PS into fibres. The morphology and size of the fibres were characterised by scanning electron microscopy (SEM). The average diameter of PS fibres decreased from 3.76 mu m to 1.31 mu m after the addition of nano-SiO2. The hydrophobicity and contact angle of PS/SiO2 composite fibres with water was measured by video water contact angle measuring instrument to be 141 degrees. The results demonstrated that the PS/SiO2 composite fibres were completely stable at or below 300 degrees C and had a moisture content less than 0.26%. Based on the properties of the fibres, PS/SiO2 composite fibres have the potential to become a new type of building insulation materials.;;;;;;;;;;;;;;;;;0032-3861;1873-2291;;;;DEC 17;2019;185;;;;;;;;121964;10.1016/j.polymer.2019.121964;;;;;;;WOS:000501721600033;;;;;;
J;Chantre, CO- Gonzalez, GM- Ahn, S- Cera, L- Campbell, PH- Hoerstrup, SP- Parker, KK;;;;Chantre, Christophe O.- Gonzalez, Grant M.- Ahn, Seungkuk- Cera, Luca- Campbell, Patrick H.- Hoerstrup, Simon P.- Parker, Kevin Kit;;;Porous Biomimetic Hyaluronic Acid and Extracellular Matrix Protein Nanofiber Scaffolds for Accelerated Cutaneous Tissue Repair;ACS APPLIED MATERIALS & INTERFACES;;;;;;;;;;;;Recent reports suggest the utility of extracellular matrix (ECM) molecules as raw components in scaffolding of engineered materials. However, rapid and tunable manufacturing of ECM molecules into fibrous structures remains poorly developed. Here we report on an immersion rotary jet-spinning (iRJS) method to show high-throughput manufacturing (up to similar to 1 g/min) of hyaluronic acid (HA) and other ECM fiber scaffolds using different spinning conditions and postprocessing modifications. This system allowed control over a variety of scaffold material properties, which enabled the fabrication of highly porous (70-95%) and water-absorbent (swelling ratio similar to 2000-6000%) HA scaffolds with soft-tissue mimetic mechanical properties (similar to 0.5-1.5 kPa). Tuning these scaffolds' properties enabled the identification of porosity (similar to 95%) as a key facilitator for rapid and in-depth cellular ingress in vitro. We then demonstrated that porous HA scaffolds accelerated granulation tissue formation, neovascularization, and reepithelialization in vivo, altogether potentiating faster wound closure and tissue repair. Collectively, this scalable and versatile manufacturing approach enabled the fabrication of tunable ECM-mimetic nanofiber scaffolds that may provide an ideal first building block for the design of all-in-one healing materials.;;;;Ahn, Seungkuk/AAP-1105-2020;;;;;;;;;;;;;1944-8244;1944-8252;;;;DEC 11;2019;11;49;;;;;45498;45510;;10.1021/acsami.9b17322;;;;;;;WOS:000502689000013;31755704;;;;;
J;Ashok, M- Deepika, S- Sowndharya, P- Muthukumar, K;;;;Ashok, Mahalingam- Deepika, Shanmuga- Sowndharya, Pitchai- Muthukumar, Krishnan;;;Cotton candy driven chitosan and gelatin coated poly(styrene-co-acrylonitrile) microfibers for anti-microbial wound dressing applications;MATERIALS RESEARCH EXPRESS;;;;;;;;;;;;Micro-structured Poly(styrene-co-acrylonitrile) (PSAN) fibers was prepared through the facile cotton candy method wit uniform coating of chitosan biopolymers and gelatin by spin-coating technique. The chemical structure, morphology and topography were studied using Fourier Transform Infrared Spectroscopy (FTIR), Scanning Electron Microscopy (SEM) and Atomic Force Microscopy (AFM) respectively. The FTIR spectra revealed the chemical structures of the chitosan and gelatin coating biopolymers over the PSAN fibers. SEM images showed the impregnation of shiny coating of chitosan and gelatin between the PSAN microfibers in the composites. AFM studies revealed the structural heterogeneity of chitosan and gelatin coated microfibers. Biocompatibility and applicability of chitosan and gelatin coated PSAN microfibers for wound-dressing has been studied using antimicrobial screening of human pathogenic bacteria (HPB) strains. The anti-microbial screening proved that gelatin coated microfibers has highest zone of inhibition than chitosan coated microfibers. The above results proved the use of this gelatin coated microfibers as an ideal candidate for HPB wound dressing.;;;;Mahalingam, Ashok/B-7049-2012;Mahalingam, Ashok/0000-0001-6755-7127;;;;;;;;;;;;2053-1591;;;;;DEC;2019;6;12;;;;;;;125339;10.1088/2053-1591/ab5b2e;;;;;;;WOS:000516852900007;;;;;;
J;Alenezi, H- Cam, ME- Edirisinghe, M;;;;Alenezi, Hussain- Cam, Muhammet Emin- Edirisinghe, Mohan;;;Experimental and theoretical investigation of the fluid behavior during polymeric fiber formation with and without pressure;APPLIED PHYSICS REVIEWS;;;;;;;;;;;;The fabrication of polymeric micro/nanofibers is gaining attention due to their use in an array of applications including tissue engineering scaffolds, nanosensors, and fiber-reinforced composites. Despite their versatile nature, polymeric fibers are widely underutilized due to the lack of reliable, large-scale production techniques. Upon the discovery of centrifugal spinning and, recently, pressurized gyration techniques, new research directions have emerged. Here, we report a comprehensive study detailing the optimal conditions to significantly improve the morphology, homogeneity, and yield of fibers of varying diameters. A series of polymeric fibers was created using a 21 wt.% solution of polyethylene oxide in distilled water and the fluid behavior was monitored inside a transparent reservoir using a high-speed camera. Fabrication of the fibers took less than 1 s. Using centrifugal spinning, we studied the formation of the fibers at three different rotational speeds, and for pressurized gyration, one rotational speed was studied with three different nitrogen gas pressures. Using the pressurized gyration technique at a gas pressure of 0.3 MPa, there was significant improvement in the production yield of the fibers. We found a strong correlation between the variation of pressure and the rate of the solution leaving the reservoir with the improved morphology of the fibers. The use of reduced power techniques, like centrifugal spinning and pressured gyration, to yield high-quality nonwoven nanofibers and microfibers in large quantities is important due to their use in rapidly expanding markets. (C) 2019 Author(s).;;;;CAM, Muhammet Emin/AAB-4488-2019;CAM, Muhammet Emin/0000-0001-5398-6801- Alenezi, Hussain/0000-0003-4563-7868;;;;;;;;;;;;1931-9401;;;;;DEC;2019;6;4;;;;;;;41401;10.1063/1.5110965;;;;;;;WOS:000515153700013;;;;;;
J;Rogalski, JJ- Zhang, H- Yao, J- Bastiaansen, CWM- Peijs, T;;;;Rogalski, James J.- Zhang, Han- Yao, Jian- Bastiaansen, Cees W. M.- Peijs, Ton;;;High-modulus rotary jet spun co-polyimide nanofibers and their composites;NANOCOMPOSITES;;;;;;;;;;;;The production of high-modulus and high-strength polymer nanofibers using centrifugal or rotary jet spinning (RJS) was explored. Co-polyimide nanofibers based on 3,3 ',4,4 '-biphenyl-tetracarboxylic dianhydride (BPDA)/p-phenylenediamine (PDA)/4,4 '-oxydianiline (ODA) (BPO) were successfully spun by RJS from a polyamic acid precursor solution before conversion into highly oriented and chain extended BPO co-polyimide fibers via an imidization step. Fourier transform infrared (FTIR) characterization was used to evaluate the chemical conversion of the fibers. Nanocomposite laminates based on co-polyimide nonwoven fiber mats in epoxy were manufactured for mechanical testing. Analysis using the generalized rule of mixtures resulted in a back-calculated fiber modulus and strength of around 50 and 2 GPa, approaching that of high-performance fibers like Kevlar (R) 29, and equaling those of co-polyimide fibers obtained via electrospinning, making them the strongest centrifugal spun fibers ever reported.;;;;Zhang, Han/V-3608-2017- Rogalski, James/M-5263-2014- Peijs, Ton/A-7309-2010;Zhang, Han/0000-0002-0479-224X- Rogalski, James/0000-0001-9928-969X- Peijs, Ton/0000-0002-6686-6005;;;;;;;;;;;;2055-0324;2055-0332;;;;JAN 2;2020;6;1;;;;;1;11;;10.1080/20550324.2019.1687174;;NOV 2019;;;;;WOS:000494422500001;;;;;;
J;Xia, L- Lu, LL- Liang, YX- Cheng, BW;;;;Xia, Lei- Lu, Linlin- Liang, Yuxia- Cheng, Bowen;;;Fabrication of centrifugally spun prepared poly(lactic acid)/gelatin/ciprofloxacin nanofibers for antimicrobial wound dressing;RSC ADVANCES;;;;;;;;;;;;Centrifugal spinning is a novel technology for producing ultrafine fibers in high yield with diameters ranging from micro to nanometers. The obtained fibers have potential applications in the field of tissue engineering, wound dressing, and biomedicine etc. In this paper, a system of poly(lactic acid)/gelatin (PLA/GE) nanofibers loaded with ciprofloxacin (CPF) drug for wound dressings were successfully prepared by centrifugal spinning. The nanofibers were characterized by scanning electron microscopy (SEM) coupled with energy dispersive spectroscopy (EDS), X-ray diffraction (XRD), thermal gravimetric analysis (TGA) and Fourier transform infrared spectroscopy (FTIR). In addition, the nanofibers' properties in terms of hydrophilicity, antibacterial properties and in vitro drug release were further investigated. The results showed that the CPF drug was successfully loaded and in an amorphous state in the PLA/GE nanofibers, the surface of the nanofibers was smooth and the nanofibers' diameter became large after the drug was loaded. The thermal stability of the nanofiber was reduced while the hydrophilicity was improved. Antibacterial and in vitro drug release experiments showed that the nanofibers have obvious antibacterial properties and have the positive effect of sustained release of the drug. Drug-loaded PLA/GE nanofibers could be good candidates for wound dressing.;;;;;;;;;;;;;;;;;;2046-2069;;;;NOV 3;2019;9;61;;;;;35328;35335;;10.1039/c9ra07826f;;;;;;;WOS:000498861100002;;;;;;
J;Wu, XW- Mao, K- Liu, J- Tao, TY- Zhao, HQ- Huang, ZH- Liu, YG- Fang, MH- Min, X;;;;Wu, Xiaowen- Mao, Kui- Liu, Jia- Tao, Tianyi- Zhao, Haiqing- Huang, Zhaohui- Liu, Yan'gai- Fang, Minghao- Min, Xin;;;N?Si doped carbon-embedded TiO2 composite fibers: a new photocatalysts with high yields by centrifugal spinning;MATERIALS RESEARCH EXPRESS;;;;;;;;;;;;N?Si doped carbon-embedded TiO2 composite fibers were prepared successfully by using centrifugal spinning and subsequent heat treatment with titanium tetrabutoxide, ethyl silicate, and Polyvinyl pyrrolidone as raw materials, as well propytrimethoxysilane (KH-560) as additives. The crystalline phase, morphologies, and groups of the prepared fibers were characterized by using X-ran diffraction, scanning electron microscopy, and Fourier transform infrared, respectively. The photocatalytic properties of the composite catalyst were investigated by using RhB as the oganic dye and ultraviolet as well visible light respective as irritator. The result indicated that Si and N atoms were doped into the lattice of TiO2. The average diameter, the surface morphologies, as well the photocatalytic activity of the fibers were controlled by the composition of raw materials, especially the concentration of KH-560. The photocatalytic performance of the novel TiO2 composite fibers reached their optimal in case the concentration of aminosilane coupling agents were 2.5 wt% and 3.75 wt% under ultraviolet and visible light irradiation, respectively.;;;;;mao, kui/0000-0001-9318-992X- Wu, Xiaowen/0000-0002-5611-0626;;;;;;;;;;;;2053-1591;;;;;NOV;2019;6;11;;;;;;;1150h1;10.1088/2053-1591/ab5146;;;;;;;WOS:000499880700001;;;;;;
J;Akia, M- Salinas, N- Luna, S- Medina, E- Valdez, A- Lopez, J- Ayala, J- Alcoutlabi, M- Lozano, K;;;;Akia, Mandana- Salinas, Nataly- Luna, Salomon- Medina, Elizabeth- Valdez, Alejandra- Lopez, Jorge- Ayala, Jonathan- Alcoutlabi, Mataz- Lozano, Karen;;;In situ synthesis of Fe3O4-reinforced carbon fiber composites as anodes in lithium-ion batteries;JOURNAL OF MATERIALS SCIENCE;;;;;;;;;;;;alpha-Fe2O3 hollow nanofibers with wall thicknesses of 45 +/- 16 nm were fabricated via centrifugal spinning of a solution containing Fe(NO3)(3)center dot 9H(2)O and polyvinylpyrrolidone. These fibers were subjected to mechanical milling and mixed in ethanol. Polyacrylonitrile (PAN) fiber mats were also fabricated by centrifugal spinning from dimethylformamide-based solutions. The as-prepared PAN fibrous mats were dipped in the iron-oxide suspension. The coated PAN membranes were then subjected to a heat treatment which yielded carbon fibers coated with Fe3O4 nanoparticles. Both pure carbon fibers (carbonized PAN fibers) and Fe3O4/C composite fibers were used as anode materials in Li-ion batteries. The Fe3O4/C composite anode exhibited high specific capacity and good cycle stability when compared to that of the carbon-fiber electrode. An initial discharge capacity (Li insertion) of 882 mAh g(-1) was obtained for the Fe3O4/C composite fibers with promising cycle performance and rate capability. These composite fibers show promising applications as electrode materials in high-performance rechargeable lithium-ion batteries.;;;;;Lozano, Karen/0000-0002-6676-8632;;;;;;;;;;;;0022-2461;1573-4803;;;;NOV;2019;54;21;;;;;13479;13490;;10.1007/s10853-019-03717-z;;;;;;;WOS:000482115200003;;;;;;
J;Zuniga, L- Gonzalez, G- Chavez, RO- Myers, JC- Lodge, TP- Alcoutlabi, M;;;;Zuniga, Luis- Gonzalez, Gabriel- Chavez, Roberto Orrostieta- Myers, Jason C.- Lodge, Timothy P.- Alcoutlabi, Mataz;;;Centrifugally Spun alpha-Fe2O3/TiO2/Carbon Composite Fibers as Anode Materials for Lithium-Ion Batteries;APPLIED SCIENCES-BASEL;;;;;;;;;;;;We report results on the electrochemical performance of flexible and binder-free alpha-Fe2O3/TiO2/carbon composite fiber anodes for lithium-ion batteries (LIBs). The composite fibers were produced via centrifugal spinning and subsequent thermal processing. The fibers were prepared from a precursor solution containing PVP/iron (III) acetylacetonate/titanium (IV) butoxide/ethanol/acetic acid followed by oxidation at 200 degrees C in air and then carbonization at 550 degrees C under flowing argon. The morphology and structure of the composite fibers were characterized using X-ray diffraction (XRD), scanning electron microscopy (SEM), transmission electron microscopy (TEM), energy dispersive X-ray spectroscopy (EDS), X-ray photoelectron spectroscopy (XPS), and thermogravimetric analysis (TGA). These ternary composite fiber anodes showed an improved electrochemical performance compared to the pristine TiO2/C and alpha-Fe2O3/C composite fiber electrodes. The alpha-Fe2O3/TiO2/C composite fibers also showed a superior cycling performance with a specific capacity of 340 mAh g(-1) after 100 cycles at a current density of 100 mA g(-1), compared to 61 mAh g(-1) and 121 mAh g(-1) for TiO2/C and alpha-Fe2O3/C composite electrodes, respectively. The improved electrochemical performance and the simple processing of these metal oxide/carbon composite fibers make them promising candidates for the next generation and cost-effective flexible binder-free anodes for LIBs.;;;;;;;;;;;;;;;;;;2076-3417;;;;OCT;2019;9;19;;;;;;;4032;10.3390/app9194032;;;;;;;WOS:000496258100090;;;;;;
J;Li, Z- Mei, SQ- Dong, YJ- She, FH- Kong, LX;;;;Li, Zhen- Mei, Shunqi- Dong, Yajie- She, Fenghua- Kong, Lingxue;;;High Efficiency Fabrication of Chitosan Composite Nanofibers with Uniform Morphology via Centrifugal Spinning;POLYMERS;;;;;;;;;;;;While electrospinning has been widely employed to spin nanofibers, its low production rate has limited its potential for industrial applications. Comparing with electrospinning, centrifugal spinning technology is a prospective method to fabricate nanofibers with high productivity. In the current study, key parameters of the centrifugal spinning system, including concentration, rotational speed, nozzle diameter and nozzle length, were studied to control fiber diameter. An empirical model was established to determine the final diameters of nanofibers via controlling various parameters of the centrifugal spinning process. The empirical model was validated via fabrication of carboxylated chitosan (CCS) and polyethylene oxide (PEO) composite nanofibers. DSC and TGA illustrated that the thermal properties of CCS/PEO nanofibers were stable, while FTIR-ATR indicated that the chemical structures of CCS and PEO were unchanged during composite fabrication. The empirical model could provide an insight into the fabrication of nanofibers with desired uniform diameters as potential biomedical materials. This study demonstrated that centrifugal spinning could be an alternative method for the fabrication of uniform nanofibers with high yield.;;;;Kong, Lingxue/D-8216-2011;Kong, Lingxue/0000-0001-6219-3897- , Zhen/0000-0002-7689-0439;;;;;;;;;;;;;2073-4360;;;;OCT;2019;11;10;;;;;;;1550;10.3390/polym11101550;;;;;;;WOS:000495382700019;31554183;;;;;
J;Doan, HN- Nguyen, DK- Vo, PP- Hayashi, K- Kinashi, K- Sakai, W- Tsutsumi, N- Huynh, DP;;;;Hoan Ngoc Doan- Dien Kim Nguyen- Phu Phong Vo- Hayashi, Kohei- Kinashi, Kenji- Sakai, Wataru- Tsutsumi, Naoto- Dai Phu Huynh;;;Facile and Scalable Fabrication of Porous Polystyrene Fibers for Oil Removal by Centrifugal Spinning;ACS OMEGA;;;;;;;;;;;;The demand for an efficient oil sorbent with high sorption capacity, low cost, scalable fabrication, and high selectivity for the cleanup of spreading oil on water is increasingly urgent due to the frequent occurrence of oil spill accidents in seawater all over the world. In this study, porous polystyrene (PS) fibers with high hydrophobicity and superoleophilicity were directly fabricated by a centrifugal spinning method (CS). The effect of solvents, tetrahydrofuran (THF), and dimethylformamide (DMF) on the morphology and porous structure of the polystyrene fibers was evaluated by using scanning electron microscopy and nitrogen adsorption-desorption experiments. The formation mechanism for the porous structure on the fibers was also evaluated. The oil sorption capacities of the PS fibers for silicon oil, pump oil, and vegetable oil were investigated. The highest oil sorption capacity was found in PS fibers fabricated from PS solution with a THF/DMF weight ratio of 1/3, which exhibited the highest specific surface area, pore volume, and porosity. The high productivity and highly porous structure of PS fibers indicate that CS is a promising method to fabricate porous fibers for the cleanup of oil spills.;;;;Kinashi, Kenji/ABA-9815-2020- Doan, Hoan/G-7112-2019;Kinashi, Kenji/0000-0003-4342-3516- Doan, Hoan/0000-0001-5473-6628- Phong Phu, Vo/0000-0002-6957-8519;;;;;;;;;;;;2470-1343;;;;;OCT 1;2019;4;14;;;;;15992;16000;;10.1021/acsomega.9b02091;;;;;;;WOS:000489241700026;31592142;;;;;
J;Rodrigues, ICP- Tamborlin, L- Rodrigues, AA- Jardini, AL- Luchessi, AD- Maciel, R- Lopes, ESN- Gabriel, LP;;;;Pereira Rodrigues, Isabella Caroline- Tamborlin, Leticia- Rodrigues, Ana Amelia- Jardini, Andre Luiz- Luchessi, Augusto Ducati- Maciel Filho, Rubens- Najar Lopes, Eder Socrates- Gabriel, Lais Pellizzer;;;Polyurethane fibrous membranes tailored by rotary jet spinning for tissue engineering applications;JOURNAL OF APPLIED POLYMER SCIENCE;;;;;;;;;;;;Polymeric membranes have gained popularity as fibrous structures for tissue regeneration. This research focuses on the rotary jet spinning (RJS) process combined with a polymer as a strategy for designing membranes. To this end, RJS-polyurethane (RJS-PU) membranes with different microstructures were produced. Considering the effects of solution properties on fiber production, the viscosity of PU solutions was evaluated. Membrane morphology was studied based on scanning electron microscopy and 2D fast Fourier transform analysis. The chemical and thermal properties were characterized by Fourier-transform infrared spectroscopy and thermogravimetric analysis, respectively. 3-(4,5-Dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide and Live/Dead cell assays were performed to determine the material cytotoxicity by assessment of the profile of proliferation and cell viability. The results indicated that the combination of PU and RJS was an effective one for the production of fibrous structures for tissue engineering applications, demonstrating good compatibility with the cultured osteoblastic cell line. (c) 2019 Wiley Periodicals, Inc. J. Appl. Polym. Sci. 2019, 136, 48455.;;;;Lopes, Eder Socrates Najar/A-3703-2014- Luchessi, Augusto Ducati/Y-7400-2019- Pereira Rodrigues, Isabella Caroline/H-2081-2018- Pellizzer Gabriel, Lais/M-3124-2015;Lopes, Eder Socrates Najar/0000-0003-1736-8381- Luchessi, Augusto Ducati/0000-0003-2080-3524- Pereira Rodrigues, Isabella Caroline/0000-0003-3874-2387- Pellizzer Gabriel, Lais/0000-0003-4035-5626- Tamborlin, Leticia/0000-0003-1140-2841;;;;;;;;;;;;0021-8995;1097-4628;;;;MAR 15;2020;137;11;;;;;;;48455;10.1002/app.48455;;SEP 2019;;;;;WOS:000486734900001;;;;;;
J;Huang, Y- Song, JN- Yang, C- Long, YZ- Wu, H;;;;Huang, Ya- Song, Jianan- Yang, Cheng- Long, Yuanzheng- Wu, Hui;;;Scalable manufacturing and applications of nanofibers;MATERIALS TODAY;;;;;;;;;;;;Nanofibers have been developed rapidly owing to their novel properties and wide applications. Scalable manufacturing of nanofibers is important for future applications. This paper provides a brief review on current research activities dealing with the synthesis of nanofibers by solution spinning methods, including electrospinning, blowspinning, centrifugal spinning, and drawspinning. Among these methods, electrospinning is the most widely studied and it allows the production of fibers with the smallest average diameters among the four technologies. Blowspinning and centrifugal spinning possess the highest productivity among the spinning techniques owing to their high efficient driving force. Drawspinning is suitable for producing ultra-long single nanofiber or nanofiber mesh, although it presents the lowest productivity among these methods. In addition, this paper describes some scalable applications of nanofibers in various areas, including filters, flexible electronics, and compressive ceramic thermal insulators.;;;;;;;;;;;;;;;;;1369-7021;1873-4103;;;;SEP;2019;28;;;;;;98;113;;10.1016/j.mattod.2019.04.018;;;;;;;WOS:000484406100023;;;;;;
J;Chen, G- Xu, YF- Shi, TT- Wu, XW- Zhang, XG- Wen, RL- Liu, YG- Fang, MH- Min, X- Huang, ZH;;;;Chen, Guo- Xu, Yunfei- Shi, Tengteng- Wu, Xiaowen- Zhang, Xiaoguang- Wen, Ruilong- Liu, Yangai- Fang, Minghao- Min, Xin- Huang, Zhaohui;;;Preparation and properties of polyacrylonitrile/polyethylene glycol composite fibers phase change materials by centrifugal spinning;MATERIALS RESEARCH EXPRESS;;;;;;;;;;;;Shape-stabilized phase change materials (ss-PCMs) have been extensively investigated by many researchers. However, poor form stability of organic PCMs, such as polyethylene glycol (PEG), is still severe. In this study, PAN/PEG composite fibers based on PEG as PCMs and polyacrylonitrile (PAN) as supporting material were successfully prepared by the centrifugal spinning technique. A combination of different parameters including concentrations of PAN, rotational speed and mass ratios of PAN/PEG are investigated to optimize the spinning technique of PAN/PEG composite fibers. The fibrous morphology of the obtained composite fibers was smooth and cylindrical as observed by scanning electron microscopy (SEM). X-ray diffraction (XRD) and Fourier-transform infrared spectroscopy (FT-IR) analyses were used to confirm that there was no chemical interaction occurred in the composite PCMs. Differential scanning calorimeter (DSC) results show that PAN/PEG composite fibers have suitable phase change temperature but low latent heat. Thermogravimetric analyses (TGA) results show that PAN/PEG composite fibers exhibited excellent thermal stability. Based on the above tests and analysis, it could be confirmed that the PAN/PEG composite fibers exhibited good thermal properties and may have application prospects in mass production.;;;;;;;;;;;;;;;;;2053-1591;;;;;SEP;2019;6;9;;;;;;;95502;10.1088/2053-1591/ab2d0a;;;;;;;WOS:000474203200001;;;;;;
